date,open,close,high,low,volumeP
1090102,332.5,339,339,332.5,11224165450
1090103,344,339.5,345,335.5,14295651580
1090106,333,332,334.5,332,15210531318
1090107,332.5,329.5,333,326.5,17053282011
1090108,325,329.5,333,325,12484410088
1090109,335,337.5,337.5,333.5,10890847940
1090110,340.5,339.5,341,336,9432320316
1090113,342,341.5,342,339,10455852739
1090114,345.5,346,346,344.5,10488360978
1090115,345,340,345,337.5,18590754206
1090116,330,334.5,336.5,330,19431133895
1090117,334,333,335.5,332,17977119406
1090120,334,333,335.5,333,11865436839
1090130,326,316.5,326,316.5,40734449874
1090131,323,320,323.5,319,20205365710
1090203,315,315,316.5,312,18782694826
1090204,319,325,326,318,16882411296
1090205,329,327.5,329.5,324.5,11985817083
1090206,329.5,332.5,332.5,329,9803038836
1090207,330,328,330.5,326,9869903253
1090210,321.5,327.5,328,321,10024967927
1090211,330.5,331.5,332.5,330,9629938182
1090212,333.5,335,336,333,12593082711
1090213,338,335,338,335,7805299096
1090214,337,335,337,334.5,6155862838
1090217,331.5,331.5,333,330.5,5354339726
1090218,324.5,322,326.5,322,20957801150
1090219,322.5,326.5,327,322,15881609046
1090220,328,325.5,329,325,8832642641
1090221,325.5,325,326.5,323,7463007621
1090224,319.5,320,321.5,319.5,13754512932
1090225,320,322,323.5,317.5,12425785349
1090226,317,318.5,320.5,316.5,19341695595
1090227,319,316,320,315,19756146876
1090302,308,311,317,308,26864484400
1090303,318.5,317.5,320,316,17534766696
1090304,322,320.5,322,317,14304795666
1090305,325,323,326,323,12392618100
1090306,320,315,320.5,315,16733485610
1090309,307.5,305.5,310,305.5,27236002054
1090310,301.5,307,309,301,22727941511
1090311,309,302,310.5,302,19913151529
1090312,299,294,299,287,33544278206
1090313,275,290,294,272.5,42448997546
1090316,285,276.5,291,275.5,29343288916
1090317,265,268,276.5,265,32936712540
1090318,269.5,260,272.5,260,31555231792
1090319,252,248,253,235.5,39559889553
1090320,258.5,270,270,256,42110816042
1090323,257,255,262.5,252,19851467203
1090324,268,267.5,274,266,22207033614
1090325,276.5,277,280,274,22368633590
1090326,279.5,280,280,275.5,15108299935
1090327,284,273,286,273,19324060590
1090330,263.5,267.5,269,262.5,14205364184
1090331,273,274,274,269.5,14712557472
