date,open,close,high,low,volumeP,pos,neg,pos,neg
1040105,140.5,139.5,140.5,137.5,4459516134,0.857142857,0.142857143,0.5,0.5
1040106,137.5,133.5,137.5,133,9104346055,0.125,0.875,0.5,0.5
1040107,133.5,134,135,133.5,5887797145,0.777777778,0.222222222,0.5,0.5
1040108,136.5,138,138,136,5839710584,0.75,0.25,0.550165858,0.449834142
1040109,135,134,135.5,133,8308394250,0.714285714,0.285714286,0.337245841,0.662754159
1040112,132.5,132,133.5,132,4031933265,0.375,0.625,0.242175362,0.757824638
1040113,131,132.5,133,130.5,5032758490,0.625,0.375,0.300636085,0.699363915
1040114,132.5,130,133,130,6480574787,0.416666667,0.583333333,0.321955419,0.678044581
1040115,131.5,131.5,133,131.5,5409019683,0.833333333,0.166666667,0.291873095,0.708126905
1040116,140,137,140,136,17798427458,0.821428571,0.178571429,0.355420071,0.644579929
1040119,138.5,139,139.5,137.5,6946057848,0.833333333,0.166666667,0.5,0.5
1040120,139,138,139,137.5,4668853302,0.875,0.125,0.277971888,0.722028112
1040121,139.5,141,141,139.5,10851391010,0.714285714,0.285714286,0.128520733,0.871479267
1040122,141.5,140,142,139.5,6420329920,0.722222222,0.277777778,0.39376087,0.60623913
1040123,142.5,145,145,142.5,11860880764,0.857142857,0.142857143,0.352992102,0.647007898
1040126,145.5,145,145.5,143.5,6773046328,0.75,0.25,0.615673383,0.384326617
1040127,145.5,147,147,144.5,7766942038,0.777777778,0.222222222,0.269169885,0.730830115
1040128,146.5,146.5,147,145.5,7070390708,0.666666667,0.333333333,0.5,0.5
1040129,144,143.5,145,143,5304459221,0.444444444,0.555555556,0.5,0.5
1040130,145,141,145.5,141,6309920080,0.4,0.6,0.5,0.5
1040202,140.5,142.5,143,140.5,4310814470,0.666666667,0.333333333,0.5,0.5
1040203,143,144.5,144.5,142,3911596752,0.833333333,0.166666667,0.5,0.5
1040204,144.5,146,146.5,144,6270013358,0.714285714,0.285714286,0.5,0.5
1040205,145.5,145.5,146,143.5,3661740425,0.857142857,0.142857143,0.279615631,0.720384369
1040206,145.5,143,145.5,143,4131250622,0.714285714,0.285714286,0.250363391,0.749636609
1040209,143,142,143.5,141.5,3790983534,0.5,0.5,0.5,0.5
1040210,142,142.5,143,141.5,4760519217,0.846153846,0.153846154,0.472033808,0.527966192
1040211,146,148,149,146,10550756946,0.666666667,0.333333333,0.5,0.5
1040212,149.5,148.5,149.5,147.5,5193362537,0.84,0.16,0.359643995,0.615965761
1040213,148.5,148.5,150,148,5752407636,0.80952381,0.19047619,0.5,0.5
1040224,149,151,152,148.5,11211962367,0.875,0.125,0.291123725,0.708876275
1040225,152.5,154.5,154.5,152.5,7425359928,0.823529412,0.176470588,0.317515878,0.682484122
1040226,153.5,150.5,154,150.5,8838206759,0.333333333,0.666666667,0.5,0.5
1040302,151.5,149,153,148.5,6260834709,0.333333333,0.666666667,0.5,0.5
1040303,150,150.5,151,148.5,4374634250,0.833333333,0.166666667,0.388748968,0.611251032
1040304,150,150.5,151.5,149,4936813407,0.647058824,0.352941176,0.5,0.5
1040305,150,150,151,148.5,4474822250,0.571428571,0.428571429,0.5,0.5
1040306,149,149,149.5,148.5,4948740906,0.375,0.625,0.5,0.5
1040309,147.5,145.5,147.5,145,9855160676,0.583333333,0.416666667,0.5,0.5
1040310,145,144,145,144,6762792095,1,0,0.266497686,0.733502314
1040311,143.5,146,148,143,7572305994,0.578947368,0.421052632,0.515311543,0.484688457
1040312,147,148,148.5,146.5,4785611312,0.666666667,0.333333333,0.273507683,0.726492317
1040313,148,149,149.5,147,6904477410,0.8125,0.1875,0.270852554,0.729147446
1040316,149,146,149.5,146,5514486291,0.846153846,0.153846154,0.5,0.5
1040317,148.5,149,150,148.5,8326102991,0.9,0.1,0.31262356,0.68737644
1040318,151,153.5,154,150,10852430499,0.8125,0.1875,0.462720829,0.537279171
1040319,152.5,154,155,152.5,6700872109,0.764705882,0.235294118,0.5,0.5
1040320,151.5,154,154,151.5,5909217707,0.777777778,0.222222222,0.146407866,0.853592134
1040323,154,153.5,154,152.5,4049600743,0.818181818,0.181818182,0.5,0.5
1040324,153.5,151.5,153.5,151.5,5811312948,0.833333333,0.166666667,0.373964197,0.626035803
1040325,152,151,152.5,150.5,7584239053,0.777777778,0.222222222,0.342552294,0.657447706
1040326,145.5,145.5,147,144.5,23745941540,0.615384615,0.384615385,0.390877308,0.609122692
1040327,144,142.5,145.5,142.5,16228885022,0.555555556,0.444444444,0.139279547,0.860720453
1040330,142.5,142.5,144,142,9275490102,0.666666667,0.333333333,0.207973945,0.792026055
1040331,144,145.5,145.5,143,8225648688,0.769230769,0.230769231,0.373704272,0.626295728
1040401,145,144,145,143.5,5643680541,0.666666667,0.333333333,0.750768712,0.249231288
1040402,145,147,148,144.5,7651261176,0.5,0.5,0.183013487,0.816986513
1040407,146.5,146,147.5,145,5106814058,0.80952381,0.19047619,0.5,0.5
1040408,145.5,143,146,143,7132875065,0.5,0.5,0.5,0.5
1040409,144,143,145.5,143,6801837297,0.647058824,0.352941176,0.275764387,0.724235613
1040410,146,147,147,145,4948520786,0.633333333,0.366666667,0.291079324,0.708920676
1040413,146.5,147,147.5,146,3876943634,0.555555556,0.444444444,0.308830321,0.691169679
1040414,145,144,145.5,143.5,6021009775,0.642857143,0.357142857,0.5,0.5
1040415,143.5,143,144.5,141.5,10214833004,0.52173913,0.47826087,0.5,0.5
1040416,145,147,147,144.5,8114893484,0.828571429,0.171428571,0.406405266,0.593594734
1040417,143,142.5,144,142.5,11301095708,0.727272727,0.272727273,0.385550517,0.614449483
1040420,142,143,144,141.5,6220438078,0.5,0.5,0.30219022,0.69780978
1040421,142,142.5,143.5,141.5,5824163035,0.666666667,0.333333333,0.293754707,0.706245293
1040422,143.5,143.5,145,143,5844788500,0.833333333,0.166666667,0.5,0.5
1040423,145.5,147,147,145,7010815563,0.733333333,0.266666667,0.045302014,0.954697986
1040424,149,152.5,152.5,148.5,20467883674,0.863636364,0.136363636,0.291887272,0.708112728
1040427,153,151.5,153,150,8802544948,0.6875,0.3125,0.424659229,0.575340771
1040428,153.5,151.5,153.5,150.5,6563481738,0.823529412,0.176470588,0.5,0.5
1040429,150,148.5,151,148,5582483598,0.571428571,0.428571429,0.36395089,0.63604911
1040430,147,147,148.5,146.5,7212381413,0.761904762,0.238095238,0.360699845,0.567871583
1040504,148.5,147.5,148.5,146,4548281580,0.636363636,0.363636364,0.5,0.5
1040505,147.5,147,148,146,4083589300,0.7,0.3,0.5,0.5
1040506,145.5,147.5,148,145.5,2765471076,0.5625,0.4375,0.5,0.5
1040507,146,146.5,147.5,146,3209664442,0.533333333,0.466666667,0.5,0.5
1040508,146,146.5,147.5,146,2938305595,0.705882353,0.294117647,0.16517978,0.83482022
