date,open,close,high,low,volumeP
1040105,140.5,139.5,140.5,137.5,4459516134
1040106,137.5,133.5,137.5,133,9104346055
1040107,133.5,134,135,133.5,5887797145
1040108,136.5,138,138,136,5839710584
1040109,135,134,135.5,133,8308394250
1040112,132.5,132,133.5,132,4031933265
1040113,131,132.5,133,130.5,5032758490
1040114,132.5,130,133,130,6480574787
1040115,131.5,131.5,133,131.5,5409019683
1040116,140,137,140,136,17798427458
1040119,138.5,139,139.5,137.5,6946057848
1040120,139,138,139,137.5,4668853302
1040121,139.5,141,141,139.5,10851391010
1040122,141.5,140,142,139.5,6420329920
1040123,142.5,145,145,142.5,11860880764
1040126,145.5,145,145.5,143.5,6773046328
1040127,145.5,147,147,144.5,7766942038
1040128,146.5,146.5,147,145.5,7070390708
1040129,144,143.5,145,143,5304459221
1040130,145,141,145.5,141,6309920080
1040202,140.5,142.5,143,140.5,4310814470
1040203,143,144.5,144.5,142,3911596752
1040204,144.5,146,146.5,144,6270013358
1040205,145.5,145.5,146,143.5,3661740425
1040206,145.5,143,145.5,143,4131250622
1040209,143,142,143.5,141.5,3790983534
1040210,142,142.5,143,141.5,4760519217
1040211,146,148,149,146,10550756946
1040212,149.5,148.5,149.5,147.5,5193362537
1040213,148.5,148.5,150,148,5752407636
1040224,149,151,152,148.5,11211962367
1040225,152.5,154.5,154.5,152.5,7425359928
1040226,153.5,150.5,154,150.5,8838206759
1040302,151.5,149,153,148.5,6260834709
1040303,150,150.5,151,148.5,4374634250
1040304,150,150.5,151.5,149,4936813407
1040305,150,150,151,148.5,4474822250
1040306,149,149,149.5,148.5,4948740906
1040309,147.5,145.5,147.5,145,9855160676
1040310,145,144,145,144,6762792095
1040311,143.5,146,148,143,7572305994
1040312,147,148,148.5,146.5,4785611312
1040313,148,149,149.5,147,6904477410
1040316,149,146,149.5,146,5514486291
1040317,148.5,149,150,148.5,8326102991
1040318,151,153.5,154,150,10852430499
1040319,152.5,154,155,152.5,6700872109
1040320,151.5,154,154,151.5,5909217707
1040323,154,153.5,154,152.5,4049600743
1040324,153.5,151.5,153.5,151.5,5811312948
1040325,152,151,152.5,150.5,7584239053
1040326,145.5,145.5,147,144.5,23745941540
1040327,144,142.5,145.5,142.5,16228885022
1040330,142.5,142.5,144,142,9275490102
1040331,144,145.5,145.5,143,8225648688
1040401,145,144,145,143.5,5643680541
1040402,145,147,148,144.5,7651261176
1040407,146.5,146,147.5,145,5106814058
1040408,145.5,143,146,143,7132875065
1040409,144,143,145.5,143,6801837297
1040410,146,147,147,145,4948520786
1040413,146.5,147,147.5,146,3876943634
1040414,145,144,145.5,143.5,6021009775
1040415,143.5,143,144.5,141.5,10214833004
1040416,145,147,147,144.5,8114893484
1040417,143,142.5,144,142.5,11301095708
1040420,142,143,144,141.5,6220438078
1040421,142,142.5,143.5,141.5,5824163035
1040422,143.5,143.5,145,143,5844788500
1040423,145.5,147,147,145,7010815563
1040424,149,152.5,152.5,148.5,20467883674
1040427,153,151.5,153,150,8802544948
1040428,153.5,151.5,153.5,150.5,6563481738
1040429,150,148.5,151,148,5582483598
1040430,147,147,148.5,146.5,7212381413
1040504,148.5,147.5,148.5,146,4548281580
1040505,147.5,147,148,146,4083589300
1040506,145.5,147.5,148,145.5,2765471076
1040507,146,146.5,147.5,146,3209664442
1040508,146,146.5,147.5,146,2938305595
1040511,149,148.5,149,147,3020441292
1040512,147,147.5,148.5,147,3687151073
1040513,147.5,148,149,147,2880697082
1040514,148,146,148.5,146,5860602872
1040515,147,146.5,147,145,3627515848
1040518,147,146.5,147,145,3823751806
1040519,145.5,146.5,147.5,145,3852118475
1040520,146.5,146.5,147,146,3949956564
1040521,146,145.5,146.5,144.5,5995895156
1040522,146,145.5,147,145,3229666392
1040525,146.5,147.5,147.5,145.5,2396692046
1040526,148.5,146.5,148.5,146.5,2368218823
1040527,145.5,145,147,145,3536266849
1040528,147,147,147.5,146,5388568653
1040529,147,146,147.5,145.5,9053910953
1040601,145.5,145,146,144,4585709246
1040602,144.5,144,144.5,143.5,4812699032
1040603,143.5,143,144.5,143,4333388014
1040604,142,141,142.5,140,8793986209
1040605,139.5,140,140.5,139,5990378661
1040608,139.5,138.5,140,138.5,6346411738
1040609,138.5,139,140,138,4410907091
1040610,141,139.5,141.5,139.5,5235873213
1040611,141,143.5,144,141,6630323144
1040612,144,144.5,144.5,142.5,5072826832
1040615,144.5,143,144.5,142.5,3409554790
1040616,143,142,143,141,4063948476
1040617,143,142.5,143.5,142,4518862957
1040618,142,142,143,142,4072821812
1040622,142,142,143.5,142,4224036248
1040623,143,144.5,145,142.5,5454961112
1040624,144.5,145,145,143.5,3054456980
1040625,145,146.5,147,145,6670295223
1040626,147,146,147.5,145.5,4994996846
1040629,140.5,138.5,141,138.5,7415992660
1040630,139,140.5,140.5,138.5,6336988915
1040701,140,141,142.5,139,4704327416
1040702,140.5,141.5,142,140.5,3434751403
1040703,141.5,142.5,142.5,140,2414975440
1040706,141,140.5,141.5,140.5,2913509592
1040707,141,140.5,142,140.5,3750582962
1040708,140.5,138,141,138,7229638176
1040709,134,136.5,138,134,7323598974
1040713,137,138.5,139.5,137,4886264549
1040714,139.5,138.5,140.5,138,3833141080
1040715,139,138.5,139.5,138,3254659920
1040716,140,136.5,140,135.5,5121828673
1040717,138,140,140,138,7769816420
1040720,141.5,139,142,138.5,3902530824
1040721,141,140.5,141.5,139.5,3068308230
1040722,139,139,139.5,138,3802971061
1040723,137,136,137.5,136,5216033345
