date,open,close,high,low,volumeP,pos,neg,pos,neg
1040105,87.8,87.2,87.8,86.9,2210737580,0.8,0.2,0.5,0.5
1040106,86,84.5,86,84.5,5611395850,0.571428571,0.428571429,0.5,0.5
1040107,84.3,85.2,85.8,84.3,2884075500,0.666666667,0.333333333,0.401237671,0.598762329
1040108,85.9,86.9,87,85.7,2683506287,0.571428571,0.428571429,0.5,0.5
1040109,87.3,86.5,87.8,86.5,1984878503,0.714285714,0.285714286,0.5,0.5
1040112,86.5,85.7,87.2,85.7,1986395964,0.9,0.1,0.5,0.5
1040113,85,86.3,86.3,85,2268498342,0.625,0.375,0.5,0.5
1040114,86.5,85.3,86.5,85.2,1927952125,0.428571429,0.571428571,0.366618693,0.633381307
1040115,85.3,84.8,85.7,84.7,2755105791,0.4,0.6,0.5,0.5
1040116,84.8,84.1,84.9,84,3535425223,0.238095238,0.761904762,0.5,0.5
1040119,84.2,83.7,84.9,83,2526370052,0.227272727,0.772727273,0.329182624,0.670817376
1040120,83.7,84.7,85,83.3,2350704232,0.117647059,0.882352941,0.265200721,0.734799279
1040121,85.2,85.3,85.5,84.7,2708110544,0.24,0.76,0.5,0.5
1040122,85.6,85.5,85.7,84.8,2209612955,0.3,0.7,0.5,0.5
1040123,85.8,87.8,87.8,85.7,6246004009,0.333333333,0.666666667,0.5,0.5
1040126,87.8,88.8,89.1,87.2,5686685672,0.6,0.4,0.345627627,0.627345346
1040127,89.4,88.8,89.4,87.8,3527873796,0.368421053,0.631578947,0.5,0.5
1040128,88.5,87.9,88.6,87.9,2447348983,0,1,0.5,0.5
1040129,87.8,86.7,87.8,86.5,2863320954,0.578947368,0.421052632,0.5,0.5
1040130,87.7,86.7,87.7,86.7,2264270652,0.7,0.3,0.5,0.5
1040202,87.2,86.5,87.3,85.8,2609671818,0.6,0.4,0.5,0.5
1040203,86.5,87.4,87.8,86.3,2102157395,0.5,0.5,0.5,0.5
1040204,87.7,87.5,88.4,87.5,3168896579,0.333333333,0.666666667,0.5,0.5
1040205,87.6,87.3,87.6,86.8,1789046541,0.666666667,0.333333333,0.5,0.5
1040206,87.7,87.3,87.7,86.8,1498692494,0.545454545,0.454545455,0.5,0.5
1040209,87.4,87,87.4,86.9,1440316062,0.5,0.5,0.5,0.5
1040210,86.5,85.5,86.7,85.5,3196282013,0.846153846,0.153846154,0.254350512,0.745649488
1040211,85,84.8,85.5,84.7,3621198415,0.75,0.25,0.5,0.5
1040212,85.2,86.2,86.4,84.5,3485381753,0.75,0.25,0.342654131,0.657345869
1040213,86,85.8,86.4,85.7,2439563444,0.7,0.3,0.5,0.5
1040224,86.1,85.8,86.8,85.8,5046339202,1,0,0.5,0.5
1040225,85.8,86.3,86.5,85.5,2378511938,1,0,0.5,0.5
1040226,86.5,87.1,87.7,86.1,3964463308,1,0,0.5,0.5
1040302,87.7,87.1,88.4,87,2792956361,0.875,0.125,0.254434647,0.745565353
1040303,87.1,86.3,87.5,86.2,1884209619,1,0,0.5,0.5
1040304,87,88.3,88.8,86.7,5404832606,0.588235294,0.411764706,0.5,0.5
1040305,88.6,88.5,89.4,87.7,5067475602,0.7,0.3,0.5,0.5
1040306,88.5,88.8,89.1,88,3249549809,0.666666667,0.333333333,0.5,0.5
1040309,88.4,87.8,88.6,87.8,2226371904,0.6,0.4,0.5,0.5
1040310,87.9,87.1,88.2,87.1,2081514048,1,0,0.5,0.5
1040311,86.5,87.3,88,86.4,2728117774,0.636363636,0.363636364,0.5,0.5
1040312,87,87.1,87.8,87,3346703565,0.571428571,0.428571429,0.5,0.5
1040313,87.3,88,88.6,87.3,3176148460,0.2,0.8,0.5,0.5
1040316,88,87.3,88.4,87.3,3203439385,0.5,0.5,0.5,0.5
1040317,87.3,87.3,88.2,87.3,2728409594,1,0,0.5,0.5
1040318,87.3,87.9,88.3,87.3,3639266445,0.875,0.125,0.5,0.5
1040319,88.3,91.1,91.2,88.3,11865473696,0.4,0.6,0.5,0.5
1040320,91.4,93,93.5,91,10859059949,0.5,0.5,0.110681717,0.889318283
1040323,93.5,93.5,94.7,93.1,7371146715,0.722222222,0.277777778,0.223385925,0.776614075
1040324,93.7,93.3,94.4,93,4635114209,0.75,0.25,0.290367809,0.709632191
1040325,94,94.4,94.8,93.4,4460908574,0.363636364,0.636363636,0.336903377,0.663096623
1040326,93.9,94.4,94.4,93,4577960527,0.785714286,0.214285714,0.5,0.5
1040327,94.4,93,94.4,92.4,4935494321,0.769230769,0.230769231,0.5,0.5
1040330,94,94,94.6,93.5,4015352182,0.888888889,0.111111111,0.36909843,0.63090157
1040331,94.5,91.6,94.9,91,10178082035,0.85,0.15,0.209009387,0.790990613
1040401,91.6,91.7,92.5,90.5,3794649871,0.833333333,0.166666667,0.5,0.5
1040402,92.9,93.2,93.5,92.5,3925799275,0.9,0.1,0.5,0.5
1040407,93.8,93.6,93.9,92.8,2266576663,1,0,0.5,0.5
1040408,94,93.7,94,92.6,3009912793,0.363636364,0.636363636,0.5,0.5
1040409,93.7,93,93.8,92.6,3206526660,0,1,0.5,0.5
1040410,93.8,93.1,93.8,92.6,3184761363,0.444444444,0.555555556,0.234936314,0.765063686
1040413,93.2,92.9,93.5,92.6,1816390152,0.227272727,0.772727273,0.411252717,0.588747283
1040414,93,93.8,93.8,92.6,2827521730,0.25,0.75,0.5,0.5
1040415,93.5,92.1,93.9,91.8,4455823474,0.391304348,0.608695652,0.5,0.5
1040416,92.9,93.3,93.4,92.6,2304883867,0.466666667,0.533333333,0.5,0.5
1040417,93.3,92.3,93.3,92.2,2332572334,0.25,0.75,0.5,0.5
1040420,91.4,92.8,93.2,91.4,2371914613,0.6,0.4,0.5,0.5
1040421,92.8,92.1,93.2,92,2098024094,0.666666667,0.333333333,0.5,0.5
1040422,91.8,92,93,91.8,2643434032,1,0,0.5,0.5
1040423,92.5,93.3,94,92.5,5330988269,0.6,0.4,0.5,0.5
1040424,94,94.6,95.3,93.8,8355807785,0.714285714,0.285714286,0.5,0.5
1040427,95.1,94.7,95.4,94.6,4263924318,0.333333333,0.666666667,0.48591318,0.51408682
1040428,95,93.6,95.4,93.3,4746356876,0.333333333,0.666666667,0.5,0.5
1040429,93.6,92.1,93.8,92,3957466187,0.333333333,0.666666667,0.287376181,0.712623819
1040430,92.1,92,93.1,91.9,2961576643,0.75,0.25,0.5,0.5
1040504,93,93.1,93.2,92.3,2152484224,0.666666667,0.333333333,0.5,0.5
1040505,93.5,93.1,93.8,92.4,1825886684,0.5,0.5,0.5,0.5
1040506,92.8,93,93.4,92.4,2081147091,0.75,0.25,0.5,0.5
1040507,93,92.1,93,92.1,2233090068,0.75,0.25,0.5,0.5
1040508,92.3,92.7,93.3,92.2,2636425463,0.454545455,0.545454545,0.5,0.5
1040511,93.8,93.2,93.9,92.3,2738926713,0.666666667,0.333333333,0.5,0.5
1040512,92.8,92.7,93.4,92.5,1430331428,0.545454545,0.454545455,0.5,0.5
1040513,93.5,94.5,94.5,93.1,3925118039,0.769230769,0.230769231,0.5,0.5
1040514,94.5,93.7,94.5,93.4,2440722203,0.5,0.5,0.5,0.5
1040515,93.7,93.1,93.9,92.9,2013745665,0.933333333,0.066666667,0.322961663,0.677038337
1040518,95.2,96.8,96.8,95.1,12114539089,0.777777778,0.222222222,0.583609861,0.416390139
1040519,97.8,98.4,98.9,97.8,9826694855,0.764705882,0.235294118,0.5,0.5
1040520,98.5,97.5,98.5,97,4359377590,0.714285714,0.285714286,0.5,0.5
1040521,97,97,97.4,96.5,4234665601,0.714285714,0.285714286,0.5,0.5
1040522,97.2,96.5,97.9,96.3,3302606771,1,0,0.5,0.5
1040525,97.5,96.9,97.7,96.6,2875561167,0.75,0.25,0.5,0.5
1040526,97.8,97.4,98.3,97.3,2233971534,0.636363636,0.363636364,0.5,0.5
1040527,97.8,97.4,98,97,2956525360,0.769230769,0.230769231,0.5,0.5
1040528,98.3,98.3,98.9,98,5453226906,0.777777778,0.222222222,0.5,0.5
1040529,98.7,99.1,99.3,98.3,8568091928,0.583333333,0.416666667,0.5,0.5
1040601,99.1,97.3,99.1,97.3,3525752478,0.5,0.5,0.5,0.5
1040602,97,97.8,98.3,96.7,3510162846,0.5,0.5,0.5,0.5
1040603,97.5,97,98,96.8,2365790919,0,1,0.5,0.5
