date,open,close,high,low,volumeP,pos,neg,pos,neg
1090102,332.5,339,339,332.5,11224165450,0.777777778,0.222222222,0.073430752,0.926569248
1090103,344,339.5,345,335.5,14295651580,0.76119403,0.23880597,0.410357328,0.589642672
1090106,333,332,334.5,332,15210531318,0.471698113,0.528301887,0.5,0.5
1090107,332.5,329.5,333,326.5,17053282011,0.5,0.5,0.347447266,0.652552734
1090108,325,329.5,333,325,12484410088,0.385964912,0.614035088,0.350723889,0.649276111
1090109,335,337.5,337.5,333.5,10890847940,0.686567164,0.313432836,0.5,0.5
1090110,340.5,339.5,341,336,9432320316,0.75,0.25,0.350335116,0.649664884
1090113,342,341.5,342,339,10455852739,0.803278689,0.196721311,0.228097971,0.771902029
1090114,345.5,346,346,344.5,10488360978,0.792207792,0.207792208,0.451215003,0.38211833
1090115,345,340,345,337.5,18590754206,0.5625,0.4375,0.396244355,0.603755645
1090116,330,334.5,336.5,330,19431133895,0.581632653,0.418367347,0.318733045,0.663875651
1090117,334,333,335.5,332,17977119406,0.689655172,0.310344828,0.388725075,0.604608258
1090120,334,333,335.5,333,11865436839,0.776119403,0.223880597,0.465729733,0.534270267
1090130,326,316.5,326,316.5,40734449874,0.358974359,0.641025641,0.5,0.5
1090131,323,320,323.5,319,20205365710,0.395833333,0.604166667,0.1442534,0.832490786
1090203,315,315,316.5,312,18782694826,0.195652174,0.804347826,0.262125156,0.737874844
1090204,319,325,326,318,16882411296,0.550724638,0.449275362,0.5,0.5
1090205,329,327.5,329.5,324.5,11985817083,0.482758621,0.517241379,0.195628949,0.804371051
1090206,329.5,332.5,332.5,329,9803038836,0.666666667,0.333333333,0.128523491,0.871476509
1090207,330,328,330.5,326,9869903253,0.56097561,0.43902439,0.5,0.5
1090210,321.5,327.5,328,321,10024967927,0.551724138,0.448275862,0.353106969,0.639540089
1090211,330.5,331.5,332.5,330,9629938182,0.767123288,0.232876712,0.5,0.5
1090212,333.5,335,336,333,12593082711,0.714285714,0.285714286,0.412443129,0.587556871
1090213,338,335,338,335,7805299096,0.823529412,0.176470588,0.5,0.5
1090214,337,335,337,334.5,6155862838,0.6,0.4,0.5,0.5
1090217,331.5,331.5,333,330.5,5354339726,0.275,0.725,0.5,0.5
1090218,324.5,322,326.5,322,20957801150,0.306122449,0.693877551,0.268013096,0.731986904
1090219,322.5,326.5,327,322,15881609046,0.457831325,0.542168675,0.275830013,0.724169987
1090220,328,325.5,329,325,8832642641,0.45,0.55,0.308738306,0.691261694
1090221,325.5,325,326.5,323,7463007621,0.519230769,0.480769231,0.425909746,0.574090254
1090224,319.5,320,321.5,319.5,13754512932,0.347826087,0.652173913,0.356437296,0.643562704
1090225,320,322,323.5,317.5,12425785349,0.45,0.55,0.303191944,0.696808056
1090226,317,318.5,320.5,316.5,19341695595,0.380952381,0.619047619,0.178498781,0.821501219
1090227,319,316,320,315,19756146876,0.358974359,0.641025641,0.538806969,0.461193031
1090302,308,311,317,308,26864484400,0.369863014,0.630136986,0.5,0.5
1090303,318.5,317.5,320,316,17534766696,0.6,0.4,0.5,0.5
1090304,322,320.5,322,317,14304795666,0.636363636,0.363636364,0.3271702,0.667727759
1090305,325,323,326,323,12392618100,0.795918367,0.204081633,0.258906356,0.741093644
1090306,320,315,320.5,315,16733485610,0.5,0.5,0.346870285,0.645065199
1090309,307.5,305.5,310,305.5,27236002054,0.342857143,0.657142857,0.356501872,0.643498128
1090310,301.5,307,309,301,22727941511,0.477777778,0.522222222,0.330167716,0.648093154
1090311,309,302,310.5,302,19913151529,0.514285714,0.485714286,0.104281992,0.840162452
1090312,299,294,299,287,33544278206,0.313432836,0.686567164,0.334999568,0.618488804
1090313,275,290,294,272.5,42448997546,0.171052632,0.828947368,0.304522361,0.63096151
1090316,285,276.5,291,275.5,29343288916,0.313432836,0.686567164,0.341548238,0.658451762
1090317,265,268,276.5,265,32936712540,0.246575342,0.753424658,0.320149405,0.679850595
1090318,269.5,260,272.5,260,31555231792,0.380952381,0.619047619,0.380434675,0.619565325
1090319,252,248,253,235.5,39559889553,0.182539683,0.817460317,0.313583347,0.664677523
1090320,258.5,270,270,256,42110816042,0.466666667,0.533333333,0.41023093,0.58976907
1090323,257,255,262.5,252,19851467203,0.4,0.6,0.278374419,0.644702504
1090324,268,267.5,274,266,22207033614,0.434782609,0.565217391,0.419815408,0.580184592
1090325,276.5,277,280,274,22368633590,0.491803279,0.508196721,0.440987724,0.559012276
1090326,279.5,280,280,275.5,15108299935,0.466666667,0.533333333,0.339960841,0.660039159
1090327,284,273,286,273,19324060590,0.28358209,0.71641791,0.597492556,0.402507444
1090330,263.5,267.5,269,262.5,14205364184,0.388888889,0.611111111,0.380452708,0.551750682
1090331,273,274,274,269.5,14712557472,0.451219512,0.548780488,0.40991707,0.59008293
